date,open,low,high,close,volume,change
18/05/2021,1252.68,1259.57,1262.22,1249.02,661244600,-6.02 (-0.48%)
17/05/2021,1258.7,1272.55,1277.83,1258.5,705839600,-7.66 (-0.60%)
14/05/2021,1266.36,1266.43,1271.45,1259.97,679016500,+4.37 (+0.35%)
13/05/2021,1261.99,1262.98,1273.49,1261.99,680368500,-7.10 (-0.56%)
12/05/2021,1269.09,1251.97,1269.09,1249.18,664157900,+13.05 (+1.04%)
11/05/2021,1256.04,1265.11,1272.55,1256.04,709535700,-3.54 (-0.28%)
10/05/2021,1259.58,1239.96,1259.58,1236.85,732066300,+17.77 (+1.43%)
07/05/2021,1241.81,1245.48,1250.5,1231.92,745215600,-8.76 (-0.70%)
06/05/2021,1250.57,1255.42,1261.49,1246.64,672398700,-5.86 (-0.47%)
05/05/2021,1256.43,1244.69,1265.93,1244.69,685433600,+14.23 (+1.15%)
04/05/2021,1242.2,1222.08,1242.8,1212.56,712632600,+2.81 (+0.23%)
29/04/2021,1239.39,1234.91,1239.39,1231.25,614232800,+9.84 (+0.80%)
28/04/2021,1229.55,1220.26,1230.91,1217.49,589498400,+9.80 (+0.80%)
27/04/2021,1219.75,1213.84,1220.96,1204.14,544650900,+3.98 (+0.33%)
26/04/2021,1215.77,1251.25,1251.25,1214.14,685386500,-32.76 (-2.62%)
23/04/2021,1248.53,1227.18,1248.53,1216.15,684222800,+20.71 (+1.69%)
22/04/2021,1227.82,1264.31,1271.98,1227.82,732254600,-40.46 (-3.19%)
20/04/2021,1268.28,1267.74,1286.32,1261.28,798483500,+7.70 (+0.61%)
19/04/2021,1260.58,1243.58,1260.58,1233.77,773047000,+21.87 (+1.77%)
16/04/2021,1238.71,1245.06,1254.61,1227.14,948989400,-8.54 (-0.68%)
15/04/2021,1247.25,1262.25,1265.87,1247.25,771443700,-8.62 (-0.69%)
14/04/2021,1255.87,1240.9,1255.87,1233.01,813503500,+7.54 (+0.60%)
13/04/2021,1248.33,1262.44,1268.02,1247.66,977605500,-4.12 (-0.33%)
12/04/2021,1252.45,1236.79,1252.45,1232.35,857647000,+20.79 (+1.69%)
09/04/2021,1231.66,1231.51,1234.98,1227.6,655839000,-3.23 (-0.26%)
08/04/2021,1234.89,1246.4,1246.4,1232.26,633566500,-7.49 (-0.60%)
07/04/2021,1242.38,1237.39,1242.38,1232.52,676166500,+2.42 (+0.20%)
06/04/2021,1239.96,1233.37,1244.63,1231.14,656481800,+3.91 (+0.32%)
05/04/2021,1236.05,1245.28,1245.28,1228.18,635303500,+11.60 (+0.95%)
02/04/2021,1224.45,1225.76,1228.29,1221.07,608762900,+8.35 (+0.69%)
01/04/2021,1216.1,1194.59,1217.26,1192.83,637059200,+24.66 (+2.07%)
31/03/2021,1191.44,1187.44,1196.45,1186.4,670504300,+5.08 (+0.43%)
30/03/2021,1186.36,1179.64,1187.29,1172.85,707543000,+10.68 (+0.91%)
29/03/2021,1175.68,1169.65,1175.77,1165.78,592790900,+13.47 (+1.16%)
26/03/2021,1162.21,1162.71,1165.76,1137.9,630516500,-0.89 (-0.08%)
25/03/2021,1163.1,1164.41,1170.76,1154.44,613916000,+1.29 (+0.11%)
24/03/2021,1161.81,1169.42,1174.2,1154.22,649741100,-21.64 (-1.83%)
23/03/2021,1183.45,1190.28,1191.47,1177.1,643583000,-10.98 (-0.92%)
22/03/2021,1194.43,1200.05,1200.21,1189.31,626610700,+0.38 (+0.03%)
19/03/2021,1194.05,1195.47,1199.67,1191.96,600925800,-6.89 (-0.57%)
18/03/2021,1200.94,1196.6,1200.94,1191.94,570101600,+14.85 (+1.25%)
17/03/2021,1186.09,1178.64,1186.09,1176.26,648766800,+6.19 (+0.52%)
16/03/2021,1179.9,1184.91,1184.91,1171.76,629617900,-4.66 (-0.39%)
15/03/2021,1184.56,1183.89,1186.06,1178.8,634609700,+3.00 (+0.25%)
12/03/2021,1181.56,1185.21,1186.52,1178.14,595631800,-0.17 (-0.01%)
11/03/2021,1181.73,1180.31,1183.73,1176.49,586252400,+11.65 (+1.00%)
10/03/2021,1170.08,1163.86,1170.59,1154.89,569498400,+8.11 (+0.70%)
09/03/2021,1161.97,1160.96,1166.42,1150.94,613096200,-6.30 (-0.54%)
08/03/2021,1168.27,1180.33,1181.25,1164.02,627495500,-0.42 (-0.04%)
05/03/2021,1168.69,1164.19,1169.56,1155.6,568265900,+0.17 (+0.01%)
04/03/2021,1168.52,1191.78,1191.9,1159.48,629649100,-18.43 (-1.55%)
03/03/2021,1186.95,1184.73,1189.18,1180.25,584537200,+0.34 (+0.03%)
